銀行コード,銀行名（漢字）,銀行名（カタカナ）,支店コード,支店名（漢字）,支店名（カタカナ）
0001,みずほ,ミズホ,001,東京営業部,トウキヨウ
0001,みずほ,ミズホ,004,丸の内中央,マルノウチチユウオウ
0001,みずほ,ミズホ,005,丸之内,マルノウチ
0001,みずほ,ミズホ,009,神田駅前,カンダエキマエ
0001,みずほ,ミズホ,013,町村会館出張所,チヨウソンカイカン
0001,みずほ,ミズホ,015,築地,ツキヂ
0001,みずほ,ミズホ,019,確定拠出年金,カクテイキヨシユツネンキン
0001,みずほ,ミズホ,020,押上,オシアゲ
0001,みずほ,ミズホ,021,麹町,コウジマチ
0001,みずほ,ミズホ,022,浅草橋,アサクサバシ
0001,みずほ,ミズホ,024,京橋,キヨウバシ
0001,みずほ,ミズホ,026,八重洲口,ヤエスグチ
0001,みずほ,ミズホ,027,兜町,カブトチヨウ
0001,みずほ,ミズホ,028,銀座通,ギンザドオリ
0001,みずほ,ミズホ,035,銀座,ギンザ
0001,みずほ,ミズホ,036,四谷,ヨツヤ
0001,みずほ,ミズホ,038,日本橋,ニホンバシ
0001,みずほ,ミズホ,040,横山町,ヨコヤマチヨウ
0001,みずほ,ミズホ,044,白金出張所,シロガネ
0001,みずほ,ミズホ,046,虎ノ門,トラノモン
0001,みずほ,ミズホ,050,本所,ホンジヨ
0001,みずほ,ミズホ,051,新橋中央,シンバシチユウオウ
0001,みずほ,ミズホ,053,六本木,ロツポンギ
0001,みずほ,ミズホ,054,芝,シバ
0001,みずほ,ミズホ,057,広尾,ヒロオ
0001,みずほ,ミズホ,061,飯田橋,イイダバシ
0001,みずほ,ミズホ,064,高田馬場,タカタノババ
0001,みずほ,ミズホ,066,新宿中央,シンジユクチユウオウ
0001,みずほ,ミズホ,068,早稲田,ワセダ
0001,みずほ,ミズホ,069,新宿南口,シンジユクミナミグチ
0001,みずほ,ミズホ,075,本郷,ホンゴウ
0001,みずほ,ミズホ,078,東京法人営業部,トウキヨウホウジン
0001,みずほ,ミズホ,080,大阪法人,オオサカホウジン
0001,みずほ,ミズホ,081,神戸法人,コウベホウジン
0001,みずほ,ミズホ,082,名古屋法人,ナゴヤホウジン
0001,みずほ,ミズホ,083,福岡法人,フクオカホウジン
0001,みずほ,ミズホ,084,仙台法人,センダイホウジン
0001,みずほ,ミズホ,085,富山法人,トヤマホウジン
0001,みずほ,ミズホ,086,広島法人,ヒロシマホウジン
0001,みずほ,ミズホ,087,札幌法人,サツポロホウジン
0001,みずほ,ミズホ,088,高松法人,タカマツホウジン
0001,みずほ,ミズホ,090,稲荷町,イナリチヨウ
0001,みずほ,ミズホ,091,横浜法人,ヨコハマホウジン
0001,みずほ,ミズホ,092,京都法人,キヨウトホウジン
0001,みずほ,ミズホ,093,新宿法人,シンジユクホウジン
0001,みずほ,ミズホ,096,浜松法人,ハママツホウジン
0001,みずほ,ミズホ,100,本店,ホンテン
0001,みずほ,ミズホ,105,小舟町,コブナチヨウ
0001,みずほ,ミズホ,107,上野,ウエノ
0001,みずほ,ミズホ,108,神田,カンダ
0001,みずほ,ミズホ,110,東京中央,トウキヨウチユウオウ
0001,みずほ,ミズホ,111,内幸町営業部,ウチサイワイチヨウ
0001,みずほ,ミズホ,112,大手町営業部,オオテマチ
0001,みずほ,ミズホ,113,兜町証券営業部,カブトチヨウシヨウケン
0001,みずほ,ミズホ,114,小金井,コガネイ
0001,みずほ,ミズホ,116,町田,マチダ
0001,みずほ,ミズホ,120,五反田,ゴタンダ
0001,みずほ,ミズホ,121,大井町,オオイマチ
0001,みずほ,ミズホ,123,戸越,トゴシ
0001,みずほ,ミズホ,125,銀座中央,ギンザチユウオウ
0001,みずほ,ミズホ,127,新川,シンカワ
0001,みずほ,ミズホ,128,府中,フチユウ
0001,みずほ,ミズホ,130,新橋,シンバシ
0001,みずほ,ミズホ,132,中目黒,ナカメグロ
0001,みずほ,ミズホ,133,都立大学駅前,トリツダイガクエキマエ
0001,みずほ,ミズホ,143,羽田,ハネダ
0001,みずほ,ミズホ,145,大岡山,オオオカヤマ
0001,みずほ,ミズホ,146,神谷町,カミヤチヨウ
0001,みずほ,ミズホ,148,浜松町,ハママツチヨウ
0001,みずほ,ミズホ,151,十二号,ジユウニゴウ
0001,みずほ,ミズホ,152,十四号,ジユウヨンゴウ
0001,みずほ,ミズホ,153,十五号,ジユウゴゴウ
0001,みずほ,ミズホ,154,日産,ニツサン
0001,みずほ,ミズホ,156,三号,サンゴウ
0001,みずほ,ミズホ,157,五号,ゴゴウ
0001,みずほ,ミズホ,159,七号,ナナゴウ
0001,みずほ,ミズホ,160,三ノ輪,ミノワ
0001,みずほ,ミズホ,161,笹塚,ササヅカ
0001,みずほ,ミズホ,162,渋谷中央,シブヤチユウオウ
0001,みずほ,ミズホ,163,八号,ハチゴウ
0001,みずほ,ミズホ,165,放送センター出張所,ホウソウセンタ－
0001,みずほ,ミズホ,166,板橋,イタバシ
